Basin,Geounit,Country,FacilityNamewithFacilityID,BusinessLine,ModelID,SerialNo,CalibrationFrequencyinMonth,DateofLastCalibrationTest,CalibrationComplianceIndicator,LeakTestFrequencyinMonth,DateofLastLeakTest,LeakTestComplianceIndicator,LastLeakTestResultRecorded,LeakTestResultComplianceIndicator,ConfirmationInventoryFrequency,Dateoflastconfirmationinvtest,Dateofnextconfirmationinvtest,PhotoInventoryFrequency,DateofLastPhotoInvtest,DateofNextPhotoInvtest,ConfirmationPhotoComplianceIndicator,Located,PhysicalLocation,PAUControlSite
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GGLS-DA,A2973,,(No Record),Non Compliance,12 Month,2023-02-12,Compliance,2023-03-08,Compliance,3Month,2023-02-15,2023-05-15,12Month,2023-02-12,2024-02-12,Compliance,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-D,065-30,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,2023-02-19,2023-05-19,12Month,2023-02-19,2024-02-19,Compliance,,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-D,065-33,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,2023-02-23,2023-05-23,12Month,2023-02-23,2024-02-23,Compliance,,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-D,16-Oct,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,2023-02-19,2023-05-19,12Month,2023-02-19,2024-02-19,Compliance,,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-D,24/17,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,2023-02-19,2023-05-19,12Month,2023-02-19,2024-02-19,Compliance,,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-D,24/68,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,2023-02-19,2023-05-19,12Month,2023-02-19,2024-02-19,Compliance,,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-Z,A2878,,(No Record),Non Compliance,12 Month,2022-12-29,Compliance,2023-03-11,Compliance,3Month,2023-03-20,2023-06-20,12Month,2022-12-29,2023-12-29,Compliance,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-Z,A2902,,(No Record),Non Compliance,12 Month,2023-02-21,Compliance,2023-03-22,Compliance,3Month,2023-02-21,2023-05-21,12Month,2023-02-21,2024-02-21,Compliance,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-Z,A2972,,(No Record),Non Compliance,12 Month,2022-06-20,Compliance,2022-08-26,Compliance,3Month,2023-02-12,2023-05-12,12Month,2022-06-20,2023-06-20,Compliance,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-Z,A3179,,(No Record),Non Compliance,12 Month,2023-01-05,Compliance,2023-01-23,Compliance,3Month,2023-01-05,2023-04-05,12Month,2023-01-05,2024-01-05,Critical,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-Z,A3180,,(No Record),Non Compliance,12 Month,2022-11-23,Compliance,2023-01-09,Compliance,3Month,2022-11-23,2023-02-23,12Month,2022-11-23,2023-11-23,Non Compliance,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,GSR-Z,A3242,,(No Record),Non Compliance,12 Month,2022-12-19,Compliance,2022-12-28,Compliance,3Month,2022-12-19,2023-03-19,12Month,2022-12-19,2023-12-19,Non Compliance,,Job,ASIA-APG-AWATLM
